,name,link,img_ref
0,Vicki Gunvalson,/wiki/Vicki_Gunvalson,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Vicki_Gunvalson_2009_cropped.jpg/220px-Vicki_Gunvalson_2009_cropped.jpg
4,Luann de Lesseps,/wiki/Luann_de_Lesseps,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Countess_Luann_2011_Shankbone.JPG/220px-Countess_Luann_2011_Shankbone.JPG
5,Bethenny Frankel,/wiki/Bethenny_Frankel,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Bethenny_Frankel_2009.png/220px-Bethenny_Frankel_2009.png
6,Kelly Killoren Bensimon,/wiki/Kelly_Killoren_Bensimon,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Kellybensimon.jpg/220px-Kellybensimon.jpg
7,Carole Radziwill,/wiki/Carole_Radziwill,//upload.wikimedia.org/wikipedia/commons/0/08/Caroles_picture.png
8,Tinsley Mortimer,/wiki/Tinsley_Mortimer,//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Tinsley_Mortimer_at_Mercedes-Benz_Fashion_Week.jpg/220px-Tinsley_Mortimer_at_Mercedes-Benz_Fashion_Week.jpg
10,Eboni K. Williams,/wiki/Eboni_K._Williams,//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Eboni_K._Williams_on_Sister_Circle_TV.jpg/220px-Eboni_K._Williams_on_Sister_Circle_TV.jpg
11,NeNe Leakes,/wiki/NeNe_Leakes,//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/NeNe_Leakes_at_PaleyFest_2013.jpg/220px-NeNe_Leakes_at_PaleyFest_2013.jpg
13,Kim Zolciak-Biermann,/wiki/Kim_Zolciak-Biermann,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Kim_Zolciak.jpg/220px-Kim_Zolciak.jpg
14,Kandi Burruss,/wiki/Kandi_Burruss,//upload.wikimedia.org/wikipedia/commons/thumb/b/be/KandiBurruss.png/220px-KandiBurruss.png
16,Kenya Moore,/wiki/Kenya_Moore,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Kenya_Moore.png/250px-Kenya_Moore.png
17,Porsha Williams,/wiki/Porsha_Williams,//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Porsha_Williams_Emmy_Awards_2015.jpg/220px-Porsha_Williams_Emmy_Awards_2015.jpg
18,Claudia Jordan,/wiki/Claudia_Jordan,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Claudia_Jordan.jpg/220px-Claudia_Jordan.jpg
19,Kim Fields,/wiki/Kim_Fields,//upload.wikimedia.org/wikipedia/commons/thumb/0/05/Kim_Fields_by_Gage_Skidmore.jpg/220px-Kim_Fields_by_Gage_Skidmore.jpg
21,Eva Marcille,/wiki/Eva_Marcille,//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Eva_Marcille_2012.jpg/220px-Eva_Marcille_2012.jpg
23,Teresa Giudice,/wiki/Teresa_Giudice,//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Teresa_Giudice_at_New_York_Fashion_Week_2016.jpg/220px-Teresa_Giudice_at_New_York_Fashion_Week_2016.jpg
28,Melissa Gorga,/wiki/Melissa_Gorga,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Melissa_Gorga_at_New_York_Fashion_Week_2016.jpg/220px-Melissa_Gorga_at_New_York_Fashion_Week_2016.jpg
31,Siggy Flicker,/wiki/Siggy_Flicker,//upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Siggy_Flicker.jpg/220px-Siggy_Flicker.jpg
33,Michaele Salahi,/wiki/Michaele_Salahi,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/President_Barack_Obama_greets_Michaele_and_Tareq_Salahi.jpg/220px-President_Barack_Obama_greets_Michaele_and_Tareq_Salahi.jpg
34,Taylor Armstrong,/wiki/Taylor_Armstrong,//upload.wikimedia.org/wikipedia/commons/thumb/4/43/Taylor_Armstrong_%288182062659%29.jpg/220px-Taylor_Armstrong_%288182062659%29.jpg
36,Adrienne Maloof,/wiki/Adrienne_Maloof,//upload.wikimedia.org/wikipedia/commons/thumb/2/25/Adrienne_Maloof_2014.jpg/220px-Adrienne_Maloof_2014.jpg
37,Kim Richards,/wiki/Kim_Richards,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Nanny_and_the_Professor_Kim_Richards_1970.jpg/220px-Nanny_and_the_Professor_Kim_Richards_1970.jpg
38,Kyle Richards,/wiki/Kyle_Richards,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Kyle_Richards-2014.jpg/220px-Kyle_Richards-2014.jpg
39,Lisa Vanderpump,/wiki/Lisa_Vanderpump,//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Lisa_Vanderpump_2014.jpg/220px-Lisa_Vanderpump_2014.jpg
40,Brandi Glanville,/wiki/Brandi_Glanville,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/BrandiGlanville2014.jpg.png/220px-BrandiGlanville2014.jpg.png
41,Yolanda Hadid,/wiki/Yolanda_Hadid,//upload.wikimedia.org/wikipedia/commons/thumb/2/21/YolandaFosterHWOFMay2013.jpg/220px-YolandaFosterHWOFMay2013.jpg
42,Joyce Giraud de Ohoven,/wiki/Joyce_Giraud,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Joyce_Giraud_2014.jpg/220px-Joyce_Giraud_2014.jpg
43,Lisa Rinna,/wiki/Lisa_Rinna,//upload.wikimedia.org/wikipedia/commons/d/d2/Lisa_Rinna6crop.jpg
44,Eileen Davidson,/wiki/Eileen_Davidson,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Eileen_Davidson_2014.jpg/220px-Eileen_Davidson_2014.jpg
45,Erika Girardi,/wiki/Erika_Jayne,//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Erika_Jayne.jpg/220px-Erika_Jayne.jpg
46,Denise Richards,/wiki/Denise_Richards,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Denise_Richards_2009.jpg/220px-Denise_Richards_2009.jpg
47,Garcelle Beauvais,/wiki/Garcelle_Beauvais,//upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Garcelle_Beauvais_at_Heart_Truth_2011.jpg/220px-Garcelle_Beauvais_at_Heart_Truth_2011.jpg
48,Joanna Krupa,/wiki/Joanna_Krupa,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Joanna_Krupa_Benchwarmer_2008.jpg/220px-Joanna_Krupa_Benchwarmer_2008.jpg
49,Wendy Osefo,/wiki/Wendy_Osefo,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Wendy_Osefo_Behind_the_Scenes_%28cropped%29.jpg/220px-Wendy_Osefo_Behind_the_Scenes_%28cropped%29.jpg
