level,question,answer,topic
Medium,"Which NBA personality actually owns the term ""three-peat"", referring to a team winning three consecutive championships?",Pat Riley,sports
Easy,"A ""Grand Slam"" in tennis means a player winning how many major tournaments in a calendar year?",4,sports
VeryHard,Which one of the following NFL teams is actually publicly-owned?,Green Bay Packers,sports
VeryHard,Which player was inducted into the Pro Football Hall of Fame at a younger age than anyone else?,Gale Sayers,sports
Medium,"Who was the first player in NBA history to play in over 1,000 consecutive games?",A.C. Green,sports
Easy,What Boston Red Sox player has the most career hits?,"Red Sox great Carl Yastrzemski is the Red Sox player who played their whole career with the club with the most career hits at 3,419. ",sports
Easy,"Muhammad Ali retired from boxing in 1981, what was his career record?","55 wins, 5 defeats",sports
Easy,During which year was male cheerleaders introduced to the NFL?,2018,sports
Easy,In which sport are the terms ‘stale fish’ and ‘mulekick’ used?,Snowboarding,sports
Easy,Ariya Jutanugarn is one of the most successful female golfers. Which country does she come from?,Thailand,sports
Medium,NFL footballs are made out of which material?,Cowhide,sports
VeryHard,"Within the first 70 years of NBA history (1947-2017), who was the only player to record a 30-assist game?",Scott Skiles,sports
Easy,"The Olympic Games were not held during which three years, for what reason?","1916, 1940, 1944, World War l and ll",sports
Medium,Serena Williams is considered one of the greatest when it comes to female tennis history. When did she win her first Wimbledon Championship?,2002,sports
Easy,"Throughout the first 70 years of NBA history (1947 - 2017), who is the shortest person to have played in the league?",Muggsy Bogues,sports
Easy,What basketball move was banned from 1967 to 1976?,The slam dunk,sports
Medium,"Which former NBA player was nicknamed ""Agent Zero""?",Gilbert Arenas,sports
VeryHard,Who is considered to be the biggest player to ever wear a Florida Gators' uniform?,Max Starks,sports
Easy,Renaud Lavillenie & Sergey Bubka are members of what event's exclusive 6-meter-high club?,Pole Vault,sports
Easy,Which tennis player won the women's singles of the U.S. Open Championship in 2018?,Naomi Osaka,sports
Hard,Which former NBA player had his number 31 retired by the Duke Blue Devils?,Shane Battier,sports
Easy,What is the international governing body for golf?,IGF,sports
Medium,"Before taking on the moniker of Golden State in 1971, the Warriors' franchise was named after which California city?",San Francisco,sports
Medium,"After Michael Jordan, who became the first NBA player to win regular-season MVP, Finals MVP and the Olympics all in the same year?",Lebron James,sports
Hard,Novak Djokovic was the winner of the 2008 Australian Open Championship. Who did he conquer in the final?,Jo-Wilfried Tsonga,sports
VeryHard,"In a professional tour game in tennis, the chair umpire may call a point penalty upon?",Second Violation,sports
Medium,"As of 2019, who is the only player in NBA history to have sired three sons who also played in the NBA?",Rick Barry,sports
Easy,What is the term for the historic jerseys today worn by many teams on special occasions?,Throwback Jerseys,sports
Medium,The record for longest field goal in NFL history was set by Matt Prater in 2013.  How many yards did the field goal cover?,64,sports
Easy,What play immediately preceded Roger Goodell as the NFL's commissioner?,Paul Tagliabue,sports
VeryHard,Which is the only team in NFL history to have scored three touchdowns in less than a minute?,New England Patriots,sports
Easy,Which country won the 2017 Davis Cup?,France,sports
Easy,"Loyal fans of what NFL team call themselves ""The 125""?",The Seattle Seahawks,sports
Hard,Arthur Ashe was a renowned tennis player. In which year did he pass away?,1993,sports
Easy,"Which turn-of-the-century NBA great's middle name is ""Bean""?",Kobe Bryant,sports
Medium,Who won the title for the men's singles of the 2011 Australian Open Championship?,Novak Djokovic,sports
Easy,"After retiring as a player, with which team did baseball great Babe Ruth spend one year as a coach?",The Brooklyn Dodgers,sports
Medium,Who is the highest-paid player in terms of annual salary in NFL history?,Aaron Rodgers,sports
Hard,"The Naismith Memorial Basketball Hall of Fame, where the NBA's greatest players are memorialized, is situated in which US state?",Massachusetts,sports
Easy,"In 2013, which music superstar sold his share of ownership in the Brooklyn Nets franchise?",Jay-Z,sports
VeryHard,In what year were the first Air Jordan sneakers released?,1984,sports
Easy,Which golfer was the runner-up to Patrick Reed in the 2018 Masters Tournament?,Rickie Fowler,sports
Medium,Which NFL team has the longest season-ticket waiting list?,Green Bay Packers,sports
Easy,Comedian Chris Rock voiced a popular character based on which NBA player during the 1990's?,Anfernee Hardaway,sports
Easy,Which is the only country to have played in every World Cup?,Brazil,sports
VeryHard,In what year was Michael Jackson featured as the halftime entertainment during the Super Bowl?,1993,sports
VeryHard,The mixed doubles of the 2000 French Open was won by which duo?,Marian de Swardt and David Adams,sports
VeryHard,The first ex-tennis female player to be elected as the President of the USTA (United States Tennis Association) is known as?,Katrina Adams,sports
Easy,Has England ever won the Soccer World Cup?,England has won the Soccer World Cup a single time in 1966. Their next best finish was 4th in 1990.,sports
Hard,Which athlete has graced the cover of Sports Illustrated more than any other NFL player?,Tom Brady,sports
Easy,What is the name of the capital city of France?,Paris,kids
Easy,What is the name of the highest mountain on Earth?,Mount Everest,kids
Easy,"Which popular singer is referred to as the ""King of Pop""?",Michael Jackson,kids
Medium,What does a tadpole grow into?,Frog,kids
Medium,In which continent can't bees be found?,Antarctica,kids
VeryHard,What is the largest man-made lake in the United States?,Lake Mead,kids
Medium,In which continent of the world is the Sahara Desert located?,Africa,kids
Medium,In which continent is Israel located?,Asia,kids
Medium,Where does the Prime Minister of the United Kingdom live?,10 Downing Street,kids
Medium,"In terms of population, what is the largest city in the United States?",New York City,kids
Hard,What is the Greek god of music called?,Apollo,kids
Easy,Batman lives in which city?,Gotham City,kids
Easy,Which continent is North Korea in?,Asia,kids
VeryHard,Which country won the first FIFA World Cup?,Uruguay,kids
Medium,Can a flying squirrel really fly?,No,kids
Hard,Who was the first woman to contest for the office of the President of the United States of America?,Victoria Woodhull,kids
Easy,How many hours make up a day?,24 hours,kids
Medium,Who was the first human to set foot upon the moon?,Neil Armstrong,kids
Medium,What percentage of the surface of the Earth is covered by water?,71%,kids
Easy,"In Peter Pan, there's a cruel pirate. What's his name?",Captain Hook,kids
Easy,How many years make a century?,100,kids
Easy,What is the capital of Germany?,Berlin,kids
Easy,The supervillain known as The Joker is the archenemy of which superhero?,Batman,kids
Medium,What is the world's tallest animal?,Giraffe,kids
Medium,What is the biggest sea animal?,Blue whale,kids
Easy,Which country has the highest population in the world?,China,kids
Hard,What was Mickey Mouse's original name?,Mortimer Mouse,kids
Easy,"In Peter Pan, there's a cruel pirate. What's his name?",Captain Hook,kids
Medium,Who founded Microsoft?,Bill Gates and Paul Allen,kids
Medium,How many edges does a cube have?,12,kids
Easy,Which country has the highest population in the world?,China,kids
Easy,In which country was Facebook founded?,U.S.A.,kids
Medium,Who was the President of the United States when Al Gore was Vice President?,Bill Clinton,kids
Medium,How many legs does a spider have?,8,kids
Hard,Who was the first woman to contest for the office of the President of the United States of America?,Victoria Woodhull,kids
Easy,What is the tallest mountain in Africa?,Mount Kilimanjaro,kids
Medium,Can a flying squirrel really fly?,No,kids
VeryHard,What is the largest man-made lake in the United States?,Lake Mead,kids
Easy,Who was Tupac Shakur?,A rapper,kids
Medium,Are all snakes poisonous?,No,kids
Easy,What is the name of the highest mountain on Earth?,Mount Everest,kids
Medium,Earth is located in which galaxy?,Milky Way,kids
Easy,How many years make a century?,100,kids
Easy,Who was the first African American President of the United States?,Barack Obama,kids
Easy,Adolf Hitler was once the leader of which country?,Germany,kids
Easy,"In Peter Pan, there's a cruel pirate. What's his name?",Captain Hook,kids
Hard,What is the total sum of all the angles of a triangle?,180 degrees,kids
Easy,Africa is a country and not a continent?,FALSE,kids
Easy,In which country was Facebook founded?,U.S.A.,kids
Medium,How many edges does a cube have?,12,kids
Easy,"The psychological test of human emotions and personality, using inkblots, is formally known as what?",The Rorschach test,science
Easy,What is the chemical formula for ozone?,O3,science
Easy,What is the name for excessive bodily hair growth in women?,Hursutism,science
Easy,Which tree's bark is used to produce aspirin?,The white willow tree,science
Easy,What is the first element on the periodic table?,Hydrogen,science
Medium,What was the first planet to be discovered using the telescope?,Uranus,science
Medium,The theory that Earth's outer shell is divided into gliding plates over the mantle is know as what?,Plate Tectonics ,science
Easy,Solve this. (32 x 8) + 104 - 27,333,science
Easy,Which animal has the longest tongue relative to its total size?,Chameleon,science
Easy,At what temperature are Celsius and Fahrenheit equal?,-40 degrees,science
Medium,Which planet has the most moons?,Jupiter,science
Easy,What does NASA stand for?,National Aeronautics and Space Administration,science
Easy,On what continent would you not find bees?,Antarctica,science
Medium,What planet in our solar system has the longest day?,Venus,science
Easy,Which is the hottest planet in the solar system?,Venus,science
Easy,Penicillin is used to fight what type of infections?,Bacterial,science
Medium,What is the medical term for low blood sugar?,Hypoglycemia,science
Easy,What melted rock eventually becomes lava?,Magma,science
Easy,What is the first element on the periodic table?,Hydrogen,science
Medium,What is Bertrand Russell's Erdős number?,3,science
Easy,How many hearts does a octopus have?,Three hearts ,science
Easy,How many digits of pi are there?,Infinite,science
Medium,"Who is considered the ""father of psychoanalysis""?",Sigmund Freud,science
Easy,Why are flamingos pink?,From eating shrimp,science
Easy,Diamonds are made up almost entirely of what element?,Carbon,science
Easy,"Which element, previously used in the production of felt, lead to the expression ""mad as a hatter""?",Mercury,science
Easy,Polar Bears mainly feed on what animals?,Seals,science
Easy,Solve this. (32 x 8) + 104 - 27,333,science
Easy,The outermost layer of the Earth is called the what?,Crust ,science
Easy,Which tree's bark is used to produce aspirin?,The white willow tree,science
Easy,Is 8128 a perfect number?,"Yes, it is!",science
Easy,Is 36 a perfect number?,"No, it's not!",science
Easy,"In the United States, where can alligators and crocodiles be found together in the wild?",South Florida,science
Easy,Which mathematician published more papers during his lifetime that any other mathematician in history?,Paul Erdős,science
Easy,What is a group of cats called?,A Clowder,science
Easy,What is a meteor called when it reaches Earth's surface?,Meteorite,science
Easy,"What has no electric charge, and is one of the fundamental particles making up an atom's nucleus?",A Neutron,science
Easy,"Which element, previously used in the production of felt, lead to the expression ""mad as a hatter""?",Mercury,science
Easy,"The lowest region of the earth's atmosphere comes between the earth and the stratosphere, what is this regions name?",The Troposphere,science
Medium,What is Bertrand Russell's Erdős number?,3,science
Easy,"What does the ""N"" stand for in NATO?",North,science
Easy,Natural pearls are found in what sea creature?,Oysters ,science
Easy,What does NASA stand for?,National Aeronautics and Space Administration,science
Easy,A puggle is the mix of what two dog breeds?,A Pug and Beagle,science
Medium,How many time zones are there in the world?,24,science
Easy,How many digits of pi are there?,Infinite,science
Easy,The Yukon River flows northwest into Alaska before emptying into what sea?,Bering Sea,science
Easy,The average human body contains how many pints of blood?,10,science
Easy,"True or false, you can lick your elbow.",False,science
Easy,What U.S. spider's poison is 15 times as powerful as rattlesnake venom?,The black widow,science
Hard,"Where in the Scriptures is it written that ""…man does not live by bread alone but on every word that comes from the mouth of the Lord""?",Deuteronomy 8:3,bible
Medium,The Creator molded man on what day?,The Sixth,bible
Medium,What was the name of the sister of Aaron and Moses?,Miriam,bible
Hard,Jesus' first two apostles were in what professions?,Fishing,bible
Easy,The last plague that God leveled on the Egyptians was?,The death of all first born in Egypt,bible
Medium,What did Zacchaeus do in order to catch a glimpse at Christ?,He climbed a tree,bible
